"NDB_No","Nutrient_Code","Nutrient_name","Derivation_Code","Output_value","Output_uom"
"45127487","203","Protein","LCGA","4.3","g"
"45127487","204","Total lipid (fat)","LCGA","18.9","g"
"45127487","205","Carbohydrate, by difference","LCGA","72.8","g"
"45127487","207","Ash","LCGA","2.0","g"
"45127487","255","Water","LCGA","2.0","g"
"45127487","269","Sugars, total","LCGA","39.3","g"
"45127487","291","Fiber, total dietary","LCGA","2.5","g"
"45127487","295","Fiber, soluble","LCGA","0.0","g"
"45127487","297","Fiber, insoluble","LCGA","1.0","g"
"45127487","301","Calcium, Ca","LCGA","28.0","mg"
"45127487","303","Iron, Fe","LCGA","1.6","mg"
"45127487","304","Magnesium, Mg","LCGA","28.0","mg"
"45127487","305","Phosphorus, P","LCGA","71.0","mg"
"45127487","306","Potassium, K","LCGA","291.0","mg"
"45127487","307","Sodium, Na","LCGA","353.0","mg"
"45127487","309","Zinc, Zn","LCGA","0.3","mg"
"45127487","318","Vitamin A, IU","LCGA","40.0","IU"
"45127487","324","Vitamin D","LCGA","1.0","IU"
"45127487","401","Vitamin C, total ascorbic acid","LCGA","1.0","mg"
"45127487","404","Thiamin","LCGA","0.0","mg"
"45127487","405","Riboflavin","LCGA","0.19","mg"
"45127487","406","Niacin","LCGA","2.1","mg"
"45127487","415","Vitamin B-6","LCGA","0.01","mg"
"45127487","417","Folate, total","LCGA","66.0","mcg"
"45127487","601","Cholesterol","LCGA","0.0","mg"
"45127487","605","Fatty acids, total trans","LCGA","0.4","g"
"45127487","606","Fatty acids, total saturated","LCGA","13.2","g"
"45127487","645","Fatty acids, total monounsaturated","LCGA","1.9","g"
"45127487","646","Fatty acids, total polyunsaturated","LCGA","3.2","g"
"45128706","203","Protein","LCGA","10.1","g"
"45128706","204","Total lipid (fat)","LCGA","8.5","g"
"45128706","205","Carbohydrate, by difference","LCGA","76.4","g"
"45128706","207","Ash","LCGA","2.5","g"
"45128706","208","Energy","LCGA","416.0","kcal"
"45128706","255","Water","LCGA","2.5","g"
"45128706","269","Sugars, total","LCGA","3.0","g"
"45128706","291","Fiber, total dietary","LCGA","2.7","g"
"45128706","295","Fiber, soluble","LCGA","1.0","g"
"45128706","297","Fiber, insoluble","LCGA","2.0","g"
"45128706","301","Calcium, Ca","LCGA","17.0","mg"
"45128706","303","Iron, Fe","LCGA","4.7","mg"
"45128706","304","Magnesium, Mg","LCGA","22.0","mg"
"45128706","305","Phosphorus, P","LCGA","107.0","mg"
"45128706","306","Potassium, K","LCGA","106.0","mg"
"45128706","307","Sodium, Na","LCGA","1495.0","mg"
"45128706","309","Zinc, Zn","LCGA","0.7","mg"
"45128706","318","Vitamin A, IU","LCGA","0.0","IU"
"45128706","324","Vitamin D","LCGA","0.0","IU"
"45128706","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45128706","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128706","404","Thiamin","LCGA","1.0","mg"
"45128706","405","Riboflavin","LCGA","0.48","mg"
"45128706","406","Niacin","LCGA","5.8","mg"
"45128706","415","Vitamin B-6","LCGA","0.04","mg"
"45128706","417","Folate, total","LCGA","153.0","mcg"
"45128706","418","Vitamin B-12","LCGA","0.0","mcg"
"45128706","601","Cholesterol","LCGA","0.0","mg"
"45128706","605","Fatty acids, total trans","LCGA","0.1","g"
"45128706","606","Fatty acids, total saturated","LCGA","1.3","g"
"45128706","645","Fatty acids, total monounsaturated","LCGA","1.9","g"
"45128706","646","Fatty acids, total polyunsaturated","LCGA","4.8","g"
"45129911","203","Protein","LCGA","3.0","g"
"45129911","204","Total lipid (fat)","LCGA","10.2","g"
"45129911","205","Carbohydrate, by difference","LCGA","77.0","g"
"45129911","207","Ash","LCGA","1.8","g"
"45129911","255","Water","LCGA","8.0","g"
"45129911","269","Sugars, total","LCGA","34.6","g"
"45129911","291","Fiber, total dietary","LCGA","0.2","g"
"45129911","295","Fiber, soluble","LCGA","0.0","g"
"45129911","297","Fiber, insoluble","LCGA","0.0","g"
"45129911","301","Calcium, Ca","LCGA","6.0","mg"
"45129911","303","Iron, Fe","LCGA","1.6","mg"
"45129911","304","Magnesium, Mg","LCGA","12.0","mg"
"45129911","305","Phosphorus, P","LCGA","38.0","mg"
"45129911","306","Potassium, K","LCGA","32.0","mg"
"45129911","307","Sodium, Na","LCGA","472.0","mg"
"45129911","309","Zinc, Zn","LCGA","0.4","mg"
"45129911","318","Vitamin A, IU","LCGA","909.0","IU"
"45129911","324","Vitamin D","LCGA","36.0","IU"
